id,byline_date,byline_place,lat,lon
dt1,1926-07-29,"London, England",51.5156177,-0.0919983
dt2,1926-07-30,"London, England",51.5156177,-0.0919983
dt3,1926-08-01,"London, England",51.5156177,-0.0919983
dt4,1926-08-02,"London, England",51.5156177,-0.0919983
dt5,1926-08-03,"London, England",51.5156177,-0.0919983
dt6,1926-08-04,"London, England",51.5156177,-0.0919983
dt7,1926-08-05,"London, England",51.5156177,-0.0919983
dt8,1926-08-06,"London, England",51.5156177,-0.0919983
dt9,1926-08-07,"London, England",51.5156177,-0.0919983
dt10,1926-08-08,"London, England",51.5156177,-0.0919983
dt11,1926-08-09,"London, England",51.5156177,-0.0919983
dt12,1926-08-10,"London, England",51.5156177,-0.0919983
dt13,1926-08-11,"London, England",51.5156177,-0.0919983
dt14,1926-08-12,"London, England",51.5156177,-0.0919983
dt15,1926-08-16,"London, England",51.5156177,-0.0919983
dt16,1926-08-17,"London, England",51.5156177,-0.0919983
dt17,1926-08-18,"London, England",51.5156177,-0.0919983
dt18,1926-08-19,"London, England",51.5156177,-0.0919983
dt19,1926-08-20,"London, England",51.5156177,-0.0919983
dt20,1926-08-21,"London, England",51.5156177,-0.0919983
dt21,1926-08-22,"London, England",51.5156177,-0.0919983
dt22,1926-08-23,"London, England",51.5156177,-0.0919983
dt23,1926-08-24,"London, England",51.5156177,-0.0919983
dt24,1926-08-25,"London, England",51.5156177,-0.0919983
dt25,1926-08-26,"London, England",51.5156177,-0.0919983
dt26,1926-08-27,"London, England",51.5156177,-0.0919983
dt27,1926-08-28,"London, England",51.5156177,-0.0919983
dt28,1926-08-29,"London, England",51.5156177,-0.0919983
dt29,1926-08-30,"London, England",51.5156177,-0.0919983
dt30,1926-08-31,"London, England",51.5156177,-0.0919983
dt31,1926-09-01,"London, England",51.5156177,-0.0919983
dt32,1926-09-02,"London, England",51.5156177,-0.0919983
dt33,1926-09-03,"London, England",51.5156177,-0.0919983
dt34,1926-09-05,"London, England",51.5156177,-0.0919983
dt35,1926-09-06,"London, England",51.5156177,-0.0919983
dt36,1926-09-08,"Dublin, Ireland",53.3493795,-6.2605593
dt37,1926-09-09,"Dublin, Ireland",53.3493795,-6.2605593
dt38,1926-09-11,"Berlin, Germany",52.5170365,13.3888599
dt39,1926-09-12,"Berlin, Germany",52.5170365,13.3888599
dt40,1926-09-17,"Paris, France",48.8588897,2.3200410217200766
dt41,1926-09-18,"Paris, France",48.8588897,2.3200410217200766
dt42,1926-09-19,"Paris, France",48.8588897,2.3200410217200766
dt43,1926-09-20,"Paris, France",48.8588897,2.3200410217200766
dt44,1926-09-22,Atlantic Ocean,13.581921,-38.320312
dt45,1926-09-23,Atlantic Ocean,13.581921,-38.320312
dt46,1926-09-25,Atlantic Ocean,13.581921,-38.320312
dt47,1926-09-26,Atlantic Ocean,13.581921,-38.320312
dt48,1926-10-10,"Toronto, Ontario, Canada",43.6534817,-79.3839347
dt49,1926-10-11,"Ottawa, Ontario, Canada",45.4208777,-75.6901106
dt50,1926-10-12,"Montreal, Quebec, Canada",45.5031824,-73.5698065
dt51,1926-10-13,"Cincinnati, Ohio",39.1014537,-84.5124602
dt52,1926-10-14,"Nashville, Tennessee",36.1622767,-86.7742984
dt53,1926-10-15,"Birmingham, Alabama",33.5206824,-86.8024326
dt54,1926-10-16,"Macon, Georgia",32.8406946,-83.6324022
dt55,1926-10-17,"Atlanta, Georgia",33.7489924,-84.3902644
dt56,1926-10-18,"Spartanburg, South Carolina",34.9498007,-81.9320157
dt57,1926-10-19,"Atlanta, Georgia",33.7489924,-84.3902644
dt58,1926-10-20,"Montgomery, Alabama",32.3669656,-86.3006485
dt59,1926-10-21,"Memphis, Tennessee",35.1460249,-90.0517638
dt60,1926-10-22,"Ada, Oklahoma",34.7743383,-96.6783651
dt61,1926-10-23,"Muskogee, Oklahoma",35.7478769,-95.3696909
dt62,1926-10-24,"Joplin, Missouri",37.0841838,-94.5133385
dt63,1926-10-25,"Ponca City, Oklahoma",36.703647,-97.081898
dt64,1926-10-26,"Okmulgee, Oklahoma",35.6677078,-95.9690122
dt65,1926-10-27,"Tulsa, Oklahoma",36.1563122,-95.9927516
